contract_symbol,last_trade_date,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_volatility,in_the_money,contract_size,currency,expiration,type,date_pulled
AAPL251010C00110000,2025-09-10 13:42:10+00:00,110.0,148.05,146.3,147.15,28.010002,23.33389,5.0,1,2.56250359375,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00120000,2025-09-23 16:28:21+00:00,120.0,136.1,136.0,137.55,0.0,0.0,,7,2.5312536718749996,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00135000,2025-09-25 18:40:07+00:00,135.0,120.55,121.6,122.6,0.0,0.0,,2,2.6601595996093756,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00140000,2025-10-01 16:28:29+00:00,140.0,116.35,116.05,117.55,0.0,0.0,1.0,4,2.1171922070312497,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00150000,2025-10-06 14:59:34+00:00,150.0,108.04,106.05,107.6,20.279999,23.108477,1.0,1,1.9414065429687501,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00160000,2025-09-30 17:21:39+00:00,160.0,93.91,96.55,97.6,0.0,0.0,1.0,6,2.003911240234375,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00165000,2025-10-01 17:35:54+00:00,165.0,91.99,91.0,92.85,0.0,0.0,1.0,0,1.75390748046875,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00170000,2025-10-02 19:27:01+00:00,170.0,87.87,86.1,87.6,0.0,0.0,2.0,3,1.5625021874999998,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00175000,2025-10-03 17:37:29+00:00,175.0,83.05,81.05,82.65,0.0,0.0,2.0,4,1.46484642578125,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00180000,2025-09-30 16:45:12+00:00,180.0,78.1,76.05,77.6,3.1500015,4.202804,1.0,45,1.3359408203124996,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00185000,2025-10-06 17:38:20+00:00,185.0,71.63,71.6,72.7,0.15999603,0.2238646,1.0,5,1.4990259423828123,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00190000,2025-10-03 17:53:59+00:00,190.0,67.43,66.6,67.65,0.0,0.0,1.0,26,1.3808624707031247,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00195000,2025-10-03 18:22:37+00:00,195.0,63.37,61.05,62.55,0.0,0.0,2.0,109,1.0371141894531253,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00200000,2025-10-06 16:16:33+00:00,200.0,56.6,56.4,57.0,-2.3500023,-3.986433,33.0,193,0.73437765625,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00205000,2025-10-06 13:30:04+00:00,205.0,53.05,51.5,52.55,0.07999802,0.15102513,1.0,71,1.0302782861328126,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00210000,2025-10-06 19:41:52+00:00,210.0,46.7,46.65,47.0,-1.9599991,-4.027947,23.0,275,0.8085956640624999,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00215000,2025-10-06 19:41:14+00:00,215.0,42.28,41.65,42.0,-0.8199997,-1.9025515,89.0,357,0.726565234375,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00217500,2025-10-06 17:51:44+00:00,217.5,39.05,39.0,39.55,-1.7299995,-4.2422748,5.0,108,0.64062859375,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00220000,2025-10-06 18:31:35+00:00,220.0,37.12,36.75,37.15,-0.97999954,-2.5721774,179.0,1307,0.717776259765625,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00222500,2025-10-06 18:50:43+00:00,222.5,34.1,34.2,34.5,-1.1200027,-3.1800191,5.0,321,0.6201209863281252,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00225000,2025-10-06 19:22:11+00:00,225.0,31.65,31.7,32.0,-1.3999996,-4.2360053,17.0,920,0.57812921875,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00227500,2025-10-06 18:48:42+00:00,227.5,28.93,29.25,29.5,-1.9300003,-6.254051,173.0,1479,0.5507857421875001,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00230000,2025-10-06 17:54:37+00:00,230.0,26.36,26.75,27.05,-1.4300003,-5.1457367,93.0,2615,0.5205126074218749,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00232500,2025-10-06 18:20:24+00:00,232.5,24.48,23.85,24.95,-0.9300003,-3.6599777,51.0,336,0.6323278955078125,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00235000,2025-10-06 19:05:44+00:00,235.0,21.63,21.4,22.2,-1.3299999,-5.792683,126.0,2422,0.5249070947265625,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00237500,2025-10-06 19:08:47+00:00,237.5,19.87,19.3,19.6,-0.7399998,-3.590489,29.0,353,0.45166563964843753,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00240000,2025-10-06 19:33:27+00:00,240.0,17.26,16.6,17.1,-1.0200005,-5.579871,199.0,2485,0.40381455566406255,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00242500,2025-10-06 19:14:06+00:00,242.5,14.35,14.4,14.65,-1.1700001,-7.53866,64.0,1875,0.366217275390625,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00245000,2025-10-06 19:58:48+00:00,245.0,12.2,12.05,12.25,-1.1999998,-8.955223,315.0,5183,0.33423517333984376,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00247500,2025-10-06 19:58:26+00:00,247.5,9.8,9.75,9.85,-1.3099995,-11.791174,895.0,5945,0.2963937548828125,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00250000,2025-10-06 19:59:28+00:00,250.0,7.7,7.5,7.65,-1.1999998,-13.483145,4432.0,22083,0.2766185620117187,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00252500,2025-10-06 19:59:22+00:00,252.5,5.75,5.55,5.65,-0.9499998,-14.179103,2026.0,4600,0.2622144091796875,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00255000,2025-10-06 19:59:52+00:00,255.0,3.85,3.8,3.9,-1.2000003,-23.76238,10507.0,7842,0.2493971545410156,True,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00257500,2025-10-06 19:59:56+00:00,257.5,2.46,2.43,2.48,-0.90999985,-27.002964,29587.0,7196,0.2387771435546875,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00260000,2025-10-06 19:59:54+00:00,260.0,1.47,1.47,1.49,-0.68000007,-31.627909,66216.0,26615,0.2357254162597656,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00262500,2025-10-06 19:59:53+00:00,262.5,0.85,0.84,0.86,-0.42999995,-33.593746,20007.0,13414,0.2375564526367187,False,REGULAR,USD,2025-10-10,C,2025-10-06
AAPL251010C00265000,2025-10-06 19:59:55+00:00,265.0,0.48,0.46,0.48,-0.25000003,-34.24658,23477.0,15646,0.2417068017578125,False,REGULAR,USD,2025-10-10,C,2025-10-06
