Strike,Open,High,Low,Last,Change,Bid,Ask,Volume,Open Int,Premium,Time,Type
19.50C,0,0.03,0.03,0.03,0,0.02,0.04,,89,30,09/08/2025,Call
20.00C,0.03,0.03,0.03,0.03,0,0.02,0.04,2,33,30,13:05 CT,Call
35.50C,0,26.03,26.03,26.03,0.46,0,0,,1,26030,15:03 CT,Call
36.00C,0,25.54,25.54,25.54,0.46,0,0,,1,25540,15:03 CT,Call
37.00C,0,24.55,24.55,24.55,0.46,0,0,,4,24550,15:03 CT,Call
37.50C,0,24.06,24.06,24.06,0.46,0,0,,4,24060,15:03 CT,Call
38.00C,0,23.57,23.57,23.57,0.46,0,0,,1,23570,15:03 CT,Call
38.50C,0,23.08,23.08,23.08,0.46,0,0,,1,23080,15:03 CT,Call
39.00C,0,22.59,22.59,22.59,0.46,0,0,,1,22590,15:03 CT,Call
39.50C,0,22.1,22.1,22.1,0.45,0,0,,1,22100,15:03 CT,Call
41.50C,0,20.15,20.15,20.15,0.44,20.23,20.37,,1,20150,15:40 CT,Call
42.50C,0,19.18,19.18,19.18,0.43,19.26,19.4,,16,19180,15:40 CT,Call
44.00C,0,17.73,17.73,17.73,0.42,17.83,17.96,,9,17730,15:40 CT,Call
44.50C,0,17.26,17.26,17.26,0.42,17.35,17.48,,1,17260,15:40 CT,Call
47.00C,0,14.9,14.9,14.9,0.38,15,15.12,,2,14900,15:40 CT,Call
49.50C,0,12.62,12.62,12.62,0.34,12.72,12.83,,1,12620,15:40 CT,Call
51.00C,0,11.3,11.3,11.3,0.31,11.4,11.51,,1,11300,15:40 CT,Call
51.50C,0,10.87,10.87,10.87,0.3,10.97,11.07,,16,10870,15:40 CT,Call
54.00C,0,8.82,8.82,8.82,0.25,8.92,9.01,,10,8820,15:40 CT,Call
55.00C,0,8.05,8.05,8.05,0.23,8.15,8.24,,8,8050,15:40 CT,Call
55.50C,0,7.68,7.68,7.68,0.22,7.77,7.87,,5,7680,15:40 CT,Call
56.00C,0,7.32,7.32,7.32,0.21,7.42,7.49,,23,7320,15:40 CT,Call
56.50C,0,6.96,6.96,6.96,0.2,7.07,7.14,,5,6960,15:40 CT,Call
57.00C,0,6.62,6.62,6.62,0.19,6.72,6.79,,8,6620,15:40 CT,Call
57.50C,0,6.28,6.28,6.28,0.18,6.38,6.44,,13,6280,15:40 CT,Call
58.00C,0,5.95,5.95,5.95,0.17,6.05,6.12,,8,5950,15:40 CT,Call
58.50C,0,5.64,5.64,5.64,0.17,5.73,5.79,,55,5640,15:40 CT,Call
59.00C,0,5.33,5.33,5.33,0.15,5.42,5.48,,26,5330,15:40 CT,Call
59.50C,0,5.04,5.04,5.04,0.15,5.12,5.17,,62,5040,15:40 CT,Call
60.00C,0,4.76,4.76,4.76,0.15,4.83,4.88,,675,4760,15:40 CT,Call
60.50C,0,4.48,4.48,4.48,0.13,4.55,4.6,,178,4480,15:40 CT,Call
61.00C,0,4.21,4.21,4.21,0.12,4.29,4.34,3,534,4210,15:40 CT,Call
61.50C,0,3.95,3.95,3.95,0.11,4.03,4.08,1,248,3950,15:40 CT,Call
62.00C,4.03,4.03,3.7,4.03,0.42,3.79,3.83,5,1606,4030,01:40 CT,Call
62.50C,3.85,3.85,3.47,3.85,0.47,3.55,3.59,3,655,3850,05:03 CT,Call
63.00C,3.34,3.52,3.25,3.52,0.35,3.33,3.37,7,264,3520,08:08 CT,Call
63.50C,0,3.04,3.04,3.04,0.07,3.12,3.16,,270,3040,15:40 CT,Call
64.00C,0,2.84,2.84,2.84,0.06,2.92,2.95,457,898,2840,15:40 CT,Call
64.50C,0,2.66,2.66,2.66,0.07,2.72,2.76,1,66,2660,15:40 CT,Call
65.00C,2.75,2.77,2.42,2.53,0.11,2.54,2.58,12,3113,2530,09:54 CT,Call
65.50C,0,2.31,2.31,2.31,0.05,2.37,2.41,,403,2310,15:40 CT,Call
