Strike,OptionType,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size,Last_USD,Bid_USD,Ask_USD
20000,C,-,33,,64.25957,-0.43105,1.01796,-,,0.99955,0.825,44.8,-,0.8195,0.8206,0.8215,129.46,53.9,"89,813","4,877,107","89,432"
20000,P,-,538.4,,-0.18905,-0.43104,1.01793,-,,-0.00045,0.0001,-,-,-,0.0001,0.0001,101.85,13.4,11,  ,11
30000,C,-,32.4,,96.02498,-1.15624,3.19381,-,,0.99844,0.7475,32.5,-,0.73,0.731,0.7325,107.37,53.9,"81,376","3,538,080","79,743"
30000,P,0.5,309.4,,-0.64797,-1.15624,3.19381,-,,-0.00156,0.0002,0.1,83.38,0.0002,0.0002,0.0005,91.85,25.4,22,"10,886",54
40000,C,-,20.2,,127.0504,-2.64126,8.26667,-,,0.99554,0.6675,33.6,-,0.6405,0.6417,0.643,86.54,34.2,"72,667","3,657,830","70,000"
40000,P,-,322.1,,-1.84678,-2.64116,8.26637,-,,-0.00446,0.0009,38.7,72.48,0.0005,0.0007,0.0009,77.85,20.6,98,"4,213,037",98
50000,C,-,35.6,,156.79893,-4.98511,17.59783,-,,0.9895,0.571,33.9,51.1,0.5515,0.5529,0.5545,74.7,31.9,"62,161","3,690,490","60,365"
50000,P,-,868.5,,-4.32265,-4.98511,17.59783,-,,-0.0105,0.0015,38.7,65.08,0.0013,0.0015,0.0017,67.65,0.1,163,"4,213,037",185
60000,C,-,8.7,,184.53387,-8.1476,32.61655,-,,0.97846,0.486,31.3,54.48,0.4635,0.4646,0.4665,64.35,32,"52,908","3,407,443","50,785"
60000,P,3,565.8,,-8.81162,-8.1473,32.61535,-,,-0.02154,0.003,0.1,58.43,0.0029,0.003,0.0032,59.44,0.1,327,"10,886",348
65000,C,-,1,,196.75775,-10.47929,44.31738,-,,0.96893,0.446,15.9,-,0.3975,0.421,0.4485,93.22,15.9,"48,553","1,730,938","48,826"
65000,P,3,1877.4,,-12.7003,-10.47929,44.31738,-,,-0.03107,0.004,35.7,54.88,0.004,0.0043,0.0045,56.14,0.1,435,"3,886,445",490
70000,C,-,13.5,,207.70852,-13.08781,58.61863,-,,0.95625,0.393,43.9,48.65,0.376,0.3779,0.38,56.28,31.2,"42,784","4,779,130","41,368"
70000,P,-,1007.3,,-17.86168,-13.08781,58.61863,-,,-0.04375,0.005,68.7,51.57,0.0055,0.006,0.0065,53.48,26.7,544,"7,478,957",708
